Unlabeled	U_avg	U_sd	L_avg	L_sd
U[57]	0.21387662498152957	1.201628714871044	0.21387662498152957	1.201628714871044
U[58]	0.20898142069041303	1.1841637309819741	0.20898142069041303	1.1841637309819741
U[59]	0.20959639374739042	1.154389801285098	0.20959639374739042	1.154389801285098
U[60]	0.21313096861730388	1.2114704572584793	0.21313096861730388	1.2114704572584793
U[61]	0.2319980691937824	1.3347402860872406	0.2319980691937824	1.3347402860872406
U[62]	0.2107754793130349	1.2591935874755804	0.2107754793130349	1.2591935874755804
U[63]	0.22098771930025646	1.209281395620477	0.22098771930025646	1.209281395620477
U[64]	0.20287420858779082	1.16701334593328	0.20287420858779082	1.16701334593328
U[65]	0.2501915781717604	1.3565967600226938	0.2501915781717604	1.3565967600226938
U[66]	0.21902994347617263	1.1346663475297507	0.21902994347617263	1.1346663475297507
U[67]	0.1943018974756045	0.9774720611222011	0.1943018974756045	0.9774720611222011
U[68]	0.22374033914121635	1.1724106324991526	0.22374033914121635	1.1724106324991526
U[69]	0.24689369857507565	1.229874098398882	0.24689369857507565	1.229874098398882
U[70]	0.25202185131148136	1.3253587772165996	0.25202185131148136	1.3253587772165996
U[71]	0.2347814900416938	1.2884821172141228	0.2347814900416938	1.2884821172141228
U[72]	0.23215518399051	1.2407713475525477	0.23215518399051	1.2407713475525477
U[73]	0.2134728443065073	1.1446198691987344	0.2134728443065073	1.1446198691987344
U[74]	0.20342961047696734	1.147330481851228	0.20342961047696734	1.147330481851228
U[75]	0.2188879239454129	1.1015701201244075	0.2188879239454129	1.1015701201244075
U[76]	0.24350579812108725	1.3307184144993756	0.24350579812108725	1.3307184144993756
U[77]	0.22245061758422963	1.1984536569940338	0.22245061758422963	1.1984536569940338
U[78]	0.23078356990413781	1.169679901985884	0.23078356990413781	1.169679901985884
U[79]	0.23902592894720387	1.2717046357187847	0.23902592894720387	1.2717046357187847
U[80]	0.21198542941545112	1.075297016277054	0.21198542941545112	1.075297016277054
U[81]	0.22040777025118657	1.0976290620712976	0.22040777025118657	1.0976290620712976
U[82]	0.2195745249476368	1.1194883028998452	0.2195745249476368	1.1194883028998452
U[83]	0.2425059322345131	1.2379704684582398	0.2425059322345131	1.2379704684582398
U[84]	0.19538218148914127	0.9998427389422138	0.19538218148914127	0.9998427389422138
U[85]	0.19900743652909575	0.9637708272004641	0.19900743652909575	0.9637708272004641
U[86]	0.20205258941629178	1.0838675927969459	0.20205258941629178	1.0838675927969459
U[87]	0.2518102934552621	1.370522832599786	0.2518102934552621	1.370522832599786
U[88]	0.24657067888654333	1.2582358271836225	0.24657067888654333	1.2582358271836225
U[89]	0.21396258903952606	1.059374851388175	0.21396258903952606	1.059374851388175
U[90]	0.20509750727383325	1.0313082402560172	0.20509750727383325	1.0313082402560172
U[91]	0.24228223553674144	1.2048829670352281	0.24228223553674144	1.2048829670352281
U[92]	0.21218898932746955	1.0436017928460972	0.21218898932746955	1.0436017928460972
U[93]	0.2246536954603562	1.1180224823215277	0.2246536954603562	1.1180224823215277
U[94]	0.23979128613094244	1.2141154732046897	0.23979128613094244	1.2141154732046897
U[95]	0.23664531579989137	1.1704109961928288	0.23664531579989137	1.1704109961928288
U[96]	0.22250146457504186	1.0952750725259708	0.22250146457504186	1.0952750725259708
U[97]	0.22161110075712334	1.290558462206334	0.22161110075712334	1.290558462206334
U[98]	0.2187184172872536	1.103103085616929	0.2187184172872536	1.103103085616929
U[99]	0.23151397834927487	1.1316342810598214	0.23151397834927487	1.1316342810598214
U[100]	0.2911202655874522	1.5307564558397493	0.2911202655874522	1.5307564558397493
U[101]	0.26691374541465157	1.350048738733124	0.26691374541465157	1.350048738733124
U[102]	0.2550627885932259	1.3234248851363482	0.2550627885932259	1.3234248851363482
U[103]	0.2580240455996961	1.3046330854754564	0.2580240455996961	1.3046330854754564
U[104]	0.22785780471369738	1.095165437550992	0.22785780471369738	1.095165437550992
U[105]	0.2289665606017357	1.113632709038242	0.2289665606017357	1.113632709038242
U[106]	0.24240265183969462	1.2124386315352502	0.24240265183969462	1.2124386315352502
