song	2	7	2	3	12	4	9	2	3	16
game-that	3	4	1	13	21	3	4	1	13	26
product-like	6	2	0	1	7	6	2	0	1	7
awesom-tablet	0	0	2	3	19	0	0	2	3	21
order-from	8	4	1	5	15	11	4	1	5	17
but-android	1	0	0	7	7	1	0	0	7	7
highend	1	0	0	7	7	1	0	0	7	7
ipad-from	4	0	0	14	42	8	0	0	14	42
capabl	11	12	14	39	96	15	13	19	39	110
better-with	1	2	2	4	5	1	2	2	4	5
which-work	3	5	3	5	12	3	5	3	5	14
king	0	0	1	4	19	0	0	1	4	19
chang-in	0	0	1	4	19	0	0	1	4	20
drag	5	1	2	3	7	5	2	2	5	8
aspect	2	6	12	13	68	2	11	13	18	89
screen-on	3	3	0	19	35	3	3	0	23	36
main-thing	0	0	1	8	9	0	0	1	8	9
leather-case	2	2	8	5	15	2	2	8	5	15
anoth-great	0	0	0	6	20	0	0	0	6	20
realli-great	0	2	1	16	35	0	2	1	16	36
that-allow	0	8	3	14	29	0	8	3	14	36
random-reboot	3	4	0	0	5	3	4	0	0	5
side-load	0	0	1	1	12	0	0	1	3	13
famili-use	0	0	1	1	12	0	0	1	1	12
and-stream	0	0	1	1	12	0	0	1	1	12
experi-and	0	0	1	1	12	0	0	1	1	12
zippi	0	0	1	1	12	0	0	1	1	12
video-with	0	0	6	0	15	0	0	6	0	15
cost-to	4	1	1	3	5	4	1	1	3	5
bright-and	2	0	0	12	34	2	0	0	12	34
amazon-has	5	1	5	6	13	5	1	5	6	17
friend-and	5	0	4	17	29	5	0	4	17	29
list-of	5	4	1	13	22	7	4	1	13	29
use-googl	2	4	4	5	11	2	4	4	5	13
product-was	9	0	9	5	52	9	0	12	5	53
musthav	0	0	6	1	7	0	0	6	1	7
save-a	2	2	7	0	11	2	2	7	0	11
record	5	4	2	25	50	7	4	2	31	65
lug	0	2	0	4	21	0	2	0	4	21
his-ipad	0	0	3	8	10	0	0	3	8	10
store-or	7	0	2	4	10	7	0	2	4	10
the-sourc	0	3	0	6	7	0	3	0	6	7
game-and	2	15	4	24	76	2	15	4	24	102
the-kitchen	7	0	1	1	8	12	0	1	1	8
work-just	0	1	1	15	32	0	1	1	15	33
to-music	1	5	1	17	31	1	5	1	17	36
fire-and	1	0	11	3	27	1	0	11	3	28
m-happi	0	0	10	3	24	0	0	10	3	24
subscript	9	0	0	0	17	27	0	0	0	24
app-develop	0	1	0	9	11	0	1	0	9	30
tablet-user	1	1	7	0	10	1	1	19	0	10
a-price	3	1	1	5	6	3	1	1	6	6
full-charg	1	5	3	7	13	1	5	3	7	13
absolut-amaz	0	2	0	1	14	0	4	0	1	14
to-hold	5	11	17	22	66	5	11	17	24	68
definit-a	1	0	1	12	17	1	0	1	16	17
price-point	3	1	5	9	15	3	1	5	9	15
2nd-gen	0	1	0	8	9	0	1	0	9	13
pan-NUM	5	3	2	8	14	6	4	3	10	16
speed-when	0	1	0	1	12	0	1	0	1	12
bibl	0	1	0	1	12	0	1	0	4	13
gripe-is	0	1	0	1	12	0	1	0	1	12
tilt	0	1	0	1	12	0	1	0	1	12
to-lug	0	1	0	1	12	0	1	0	1	12
case-on	0	1	0	1	12	0	1	0	1	12
app-design	0	1	0	1	12	0	1	0	1	18
understand-whi	0	1	0	1	12	0	1	0	1	12
app-as	1	0	0	2	15	1	0	0	2	15
clean-and	1	0	0	2	15	1	0	0	3	15
is-cheaper	1	0	0	2	15	1	0	0	2	15
the-ship	12	4	3	1	42	13	4	3	1	43
a-break	0	2	0	0	11	0	2	0	0	11
for-asus	0	2	0	0	11	0	2	0	0	11
