first-tablet	13	11	10	27	68	13	12	10	31	71
review-from	3	2	7	0	12	3	2	8	0	13
load-it	2	0	7	2	10	2	0	7	2	10
was-NUM	6	0	5	8	16	6	0	5	11	16
some-app	5	6	3	15	29	5	6	3	16	31
a-kid	7	0	0	11	18	7	0	0	11	18
environ	1	1	0	9	11	1	1	0	10	19
and-weight	2	1	0	10	13	4	1	0	10	13
lap-top	1	1	5	1	23	1	1	5	1	23
option-in	2	2	6	3	10	2	2	6	3	10
my-best	1	1	0	2	17	1	1	0	2	17
sport	1	1	0	2	17	1	1	0	2	23
veri-respons	0	2	0	14	31	0	2	0	14	33
bear	1	0	7	3	10	1	0	7	6	10
purchas	196	78	112	192	825	297	109	187	265	1075
mile	1	1	1	10	13	1	1	1	10	13
is-gorgeous	0	0	1	7	24	0	0	1	7	24
it-great	1	1	3	13	20	1	1	3	13	20
newest	11	9	10	23	57	14	14	10	26	79
be-expect	3	0	2	0	18	3	0	2	0	24
station	9	9	6	5	29	11	12	10	7	37
truth	1	0	6	6	11	1	0	6	6	12
icloud	1	2	1	15	41	1	2	1	26	49
newer-version	1	1	1	11	15	1	1	1	12	17
concern	13	8	26	18	84	13	14	28	32	123
or-read	0	6	0	2	21	0	6	0	2	21
with-friend	3	0	0	10	13	3	0	0	11	17
thought-that	3	11	2	4	23	3	11	2	5	23
access-to	9	11	9	23	57	10	13	10	23	64
2g	0	0	0	10	14	0	0	0	16	14
heavi-and	0	0	6	8	35	0	0	6	8	35
more-conveni	0	1	4	13	21	0	1	4	13	21
tote	0	0	0	11	17	0	0	0	16	17
love-that	1	0	0	13	30	2	0	0	19	35
veri-clear	3	0	0	12	17	3	0	0	12	17
3rd	31	9	24	67	232	65	9	36	81	294
NUM-updat	1	1	5	6	10	1	2	5	6	10
song	2	7	2	3	12	4	9	2	3	16
game-that	3	4	1	13	21	3	4	1	13	26
awesom-tablet	0	0	2	3	19	0	0	2	3	21
order-from	8	4	1	5	15	11	4	1	5	17
ipad-from	4	0	0	14	42	8	0	0	14	42
capabl	11	12	14	39	96	15	13	19	39	110
which-work	3	5	3	5	12	3	5	3	5	14
king	0	0	1	4	19	0	0	1	4	19
chang-in	0	0	1	4	19	0	0	1	4	20
aspect	2	6	12	13	68	2	11	13	18	89
screen-on	3	3	0	19	35	3	3	0	23	36
leather-case	2	2	8	5	15	2	2	8	5	15
anoth-great	0	0	0	6	20	0	0	0	6	20
realli-great	0	2	1	16	35	0	2	1	16	36
that-allow	0	8	3	14	29	0	8	3	14	36
video-with	0	0	6	0	15	0	0	6	0	15
bright-and	2	0	0	12	34	2	0	0	12	34
amazon-has	5	1	5	6	13	5	1	5	6	17
friend-and	5	0	4	17	29	5	0	4	17	29
list-of	5	4	1	13	22	7	4	1	13	29
use-googl	2	4	4	5	11	2	4	4	5	13
product-was	9	0	9	5	52	9	0	12	5	53
save-a	2	2	7	0	11	2	2	7	0	11
record	5	4	2	25	50	7	4	2	31	65
lug	0	2	0	4	21	0	2	0	4	21
his-ipad	0	0	3	8	10	0	0	3	8	10
store-or	7	0	2	4	10	7	0	2	4	10
game-and	2	15	4	24	76	2	15	4	24	102
work-just	0	1	1	15	32	0	1	1	15	33
to-music	1	5	1	17	31	1	5	1	17	36
fire-and	1	0	11	3	27	1	0	11	3	28
m-happi	0	0	10	3	24	0	0	10	3	24
subscript	9	0	0	0	17	27	0	0	0	24
app-develop	0	1	0	9	11	0	1	0	9	30
full-charg	1	5	3	7	13	1	5	3	7	13
to-hold	5	11	17	22	66	5	11	17	24	68
definit-a	1	0	1	12	17	1	0	1	16	17
price-point	3	1	5	9	15	3	1	5	9	15
pan-NUM	5	3	2	8	14	6	4	3	10	16
the-ship	12	4	3	1	42	13	4	3	1	43
purchas-an	13	4	4	13	33	13	5	4	14	33
the-famili	0	0	3	3	21	0	0	4	3	23
a-cover	0	0	9	2	16	0	0	9	2	16
and-decid	3	2	1	2	26	3	2	1	2	26
not-wait	1	6	0	5	10	1	6	0	5	10
thrill-with	0	0	9	3	15	0	0	9	3	15
vacat	0	2	0	3	19	0	2	0	4	25
smart-phone	4	10	2	13	30	5	10	2	14	40
and-enjoy	0	1	9	8	19	0	1	9	8	19
and-order	2	4	1	8	12	3	4	1	8	12
comment-on	6	6	2	10	21	6	6	2	10	21
team	7	1	4	0	11	7	1	4	0	11
a-second	5	4	8	4	49	5	4	8	7	50
evid	0	4	0	1	17	0	4	0	1	17
varieti	1	1	0	12	17	1	1	0	15	21
NUM-owner	0	6	0	6	11	0	6	0	6	19
big-deal	5	8	1	15	30	5	8	1	15	36
a-32gb	0	0	1	8	26	0	0	1	8	26
basi	1	1	0	8	29	1	1	0	8	29
i-watch	3	1	1	5	31	3	1	1	5	31
skype	9	4	9	36	80	12	4	12	43	91
the-bottom	9	4	14	16	45	12	4	15	17	66
the-tabl	6	3	2	3	10	6	3	4	3	10
is-exact	0	2	0	6	25	0	2	0	6	26
android-oper	0	2	5	8	13	0	2	5	8	13
determin	6	5	2	7	16	8	5	2	7	16
of-hour	3	0	8	0	13	3	0	14	0	13
children	4	0	3	8	41	4	0	3	8	46
the-includ	0	0	2	9	11	0	0	2	9	13
par	2	7	6	5	18	2	8	8	5	21
the-kid	1	2	6	7	41	1	2	6	11	46
blow	0	3	0	16	32	0	3	0	16	32
se	1	1	0	4	22	2	3	0	5	27
devic-has	4	6	3	2	12	4	6	3	2	17
day-with	2	4	0	9	13	2	4	0	9	16
cellular	19	9	0	13	47	23	9	0	34	111
new-display	0	3	0	8	10	0	3	0	13	10
toy-for	0	3	5	5	10	0	3	5	5	10
brother	4	5	4	11	21	11	5	5	11	23
incred	7	8	4	35	82	7	9	6	36	104
thing-is	27	6	10	35	92	28	7	10	35	98
a-ipad	1	2	4	16	51	1	2	5	19	60
slick	2	10	2	2	19	2	13	2	2	28
comfort	6	1	15	20	85	6	1	15	20	128
and-sharp	0	0	0	7	22	0	0	0	7	23
io-and	2	5	3	5	11	2	10	3	5	11
wife-s	7	3	2	13	23	9	4	2	14	25
but-appl	0	6	0	10	17	0	6	0	10	17
critic	5	10	2	8	24	7	10	6	8	26
to-choos	0	1	1	15	34	0	1	1	15	35
in-handi	0	0	2	11	15	0	0	2	11	15
gonna	6	2	4	1	10	8	2	8	1	10
heard	17	8	2	29	66	17	9	2	35	78
the-larger	2	1	2	10	40	2	3	2	11	42
ultra	3	4	0	10	15	3	4	0	11	15
standbi	0	5	1	7	11	0	12	1	7	14
an-older	0	5	1	7	11	0	6	1	7	11
the-memori	10	5	1	5	19	11	5	1	5	19
sleek	2	6	4	8	49	2	7	4	8	56
in-general	2	3	2	16	26	2	7	3	22	27
for-long	1	2	0	3	22	1	2	0	3	27
